2026-03-19 20:02:44,909 | CRITICAL | app.core.config | Configuration error: 1 validation error for Settings
rate_limit
  Field required [type=missing, input_value={'env': 'dev', 'app': {'d...e', 'duration': 'true'}}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
2026-03-19 20:26:24,769 | WARNING | werkzeug |  * Debugger is active!
2026-03-19 20:26:24,771 | INFO | werkzeug |  * Debugger PIN: 961-882-624
2026-03-19 20:26:28,800 | INFO | werkzeug |  * Detected change in 'D:\\Coding\\repositorys\\GitHub\\FlowForm\\backend\\app\\core\\factory.py', reloading
2026-03-19 20:26:30,419 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:27:05,087 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:27:12,609 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:27:18,120 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:27:20,616 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:27:32,164 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:27:33,654 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:27:52,775 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:27:53,164 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:32:17,061 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:32:19,537 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:32:23,009 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:32:29,522 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:32:36,021 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:32:37,506 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:32:39,976 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:32:42,475 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:32:44,982 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:32:58,544 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:33:04,070 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:33:22,633 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:33:25,116 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:33:51,743 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:34:20,369 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:34:22,846 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:34:24,358 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:34:31,877 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:34:37,392 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:34:45,928 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:36:01,795 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:36:05,290 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:36:07,768 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:36:11,270 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:36:23,822 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:36:33,340 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:36:34,817 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:36:36,301 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:36:39,804 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:36:41,311 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:36:42,796 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:36:44,306 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:36:45,789 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:37:44,560 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:37:48,053 | INFO | app.core.config | Settings loaded for env=dev
2026-03-19 20:37:53,578 | INFO | app.core.config | Settings loaded for env=dev
